,Run,Subject,Tissue,Len,Percentage,Species
0,SRR17271941_PBMC_divan,SRR17271941,PBMC,9,45.254394488119424,dog
1,SRR17271941_PBMC_divan,SRR17271941,PBMC,6,9.833495274269058,dog
2,SRR17271941_PBMC_divan,SRR17271941,PBMC,11,0.3467008214822012,dog
3,SRR17271941_PBMC_divan,SRR17271941,PBMC,8,36.801077643317726,dog
4,SRR17271941_PBMC_divan,SRR17271941,PBMC,10,1.1990990195212436,dog
5,SRR17271941_PBMC_divan,SRR17271941,PBMC,14,0.2252451196890734,dog
6,SRR17271941_PBMC_divan,SRR17271941,PBMC,5,0.13028884374171892,dog
7,SRR17271941_PBMC_divan,SRR17271941,PBMC,7,1.6054235491564348,dog
8,SRR17271942_PBMC_divan,SRR17271942,PBMC,9,44.262460822970375,dog
9,SRR17271942_PBMC_divan,SRR17271942,PBMC,6,9.172480032352643,dog
10,SRR17271942_PBMC_divan,SRR17271942,PBMC,11,0.34880194115862906,dog
11,SRR17271942_PBMC_divan,SRR17271942,PBMC,8,38.557779799818015,dog
12,SRR17271942_PBMC_divan,SRR17271942,PBMC,10,0.937721160651097,dog
13,SRR17271942_PBMC_divan,SRR17271942,PBMC,14,0.1718734202810636,dog
14,SRR17271942_PBMC_divan,SRR17271942,PBMC,5,0.07077140835102619,dog
15,SRR17271942_PBMC_divan,SRR17271942,PBMC,7,1.519057729248812,dog
16,SRR17271942_PBMC_divan,SRR17271942,PBMC,4,0.00505510059650187,dog
17,SRR17271942_PBMC_divan,SRR17271942,PBMC,12,0.0075826508947528055,dog
18,SRR17271945_PBMC_divan,SRR17271945,PBMC,6,10.286579114387541,dog
19,SRR17271945_PBMC_divan,SRR17271945,PBMC,11,0.24410486745105697,dog
20,SRR17271945_PBMC_divan,SRR17271945,PBMC,9,42.176438998193625,dog
21,SRR17271945_PBMC_divan,SRR17271945,PBMC,8,39.01772201337695,dog
22,SRR17271945_PBMC_divan,SRR17271945,PBMC,10,0.6590831421178538,dog
23,SRR17271945_PBMC_divan,SRR17271945,PBMC,14,0.20504808865888785,dog
24,SRR17271945_PBMC_divan,SRR17271945,PBMC,5,0.06346726553727482,dog
25,SRR17271945_PBMC_divan,SRR17271945,PBMC,7,1.4792754967534052,dog
26,SRR17271945_PBMC_divan,SRR17271945,PBMC,4,0.004882097349021139,dog
27,SRR17271967_PBMC_divan,SRR17271967,PBMC,6,11.148155085221951,dog
28,SRR17271967_PBMC_divan,SRR17271967,PBMC,11,0.5431728788162578,dog
29,SRR17271967_PBMC_divan,SRR17271967,PBMC,10,1.562090279078479,dog
30,SRR17271967_PBMC_divan,SRR17271967,PBMC,8,37.029406255853154,dog
31,SRR17271967_PBMC_divan,SRR17271967,PBMC,9,44.22176437535119,dog
32,SRR17271967_PBMC_divan,SRR17271967,PBMC,12,0.007492039707810451,dog
33,SRR17271967_PBMC_divan,SRR17271967,PBMC,14,0.033714178685147034,dog
34,SRR17271967_PBMC_divan,SRR17271967,PBMC,5,0.02622213897733658,dog
35,SRR17271967_PBMC_divan,SRR17271967,PBMC,7,0.779172129612287,dog
36,SRR17271967_PBMC_divan,SRR17271967,PBMC,4,0.011238059561715677,dog
37,SRR17271977_PBMC_divan,SRR17271977,PBMC,8,34.66414498295785,dog
38,SRR17271977_PBMC_divan,SRR17271977,PBMC,9,48.2708454568127,dog
39,SRR17271977_PBMC_divan,SRR17271977,PBMC,6,9.18197688918447,dog
40,SRR17271977_PBMC_divan,SRR17271977,PBMC,11,0.1995178319062266,dog
41,SRR17271977_PBMC_divan,SRR17271977,PBMC,10,1.69174494970488,dog
42,SRR17271977_PBMC_divan,SRR17271977,PBMC,14,0.44891512178900983,dog
43,SRR17271977_PBMC_divan,SRR17271977,PBMC,5,0.014548175243162358,dog
44,SRR17271977_PBMC_divan,SRR17271977,PBMC,7,1.2095768559314988,dog
45,SRR17271977_PBMC_divan,SRR17271977,PBMC,4,0.029096350486324717,dog
46,SRR17271989_PBMC_divan,SRR17271989,PBMC,6,8.751748094013625,dog
47,SRR17271989_PBMC_divan,SRR17271989,PBMC,8,36.80245409843461,dog
48,SRR17271989_PBMC_divan,SRR17271989,PBMC,9,46.52411241936211,dog
49,SRR17271989_PBMC_divan,SRR17271989,PBMC,7,1.4029864212568233,dog
50,SRR17271989_PBMC_divan,SRR17271989,PBMC,10,1.1052465376460505,dog
51,SRR17271989_PBMC_divan,SRR17271989,PBMC,11,0.2616502007488609,dog
52,SRR17271989_PBMC_divan,SRR17271989,PBMC,5,0.08120178643930166,dog
53,SRR17271989_PBMC_divan,SRR17271989,PBMC,14,0.1984932557405152,dog
54,SRR17271989_PBMC_divan,SRR17271989,PBMC,12,0.0045112103577389815,dog
55,SRR17271990_PBMC_divan,SRR17271990,PBMC,6,9.995021160069703,dog
56,SRR17271990_PBMC_divan,SRR17271990,PBMC,11,0.14438635797859098,dog
57,SRR17271990_PBMC_divan,SRR17271990,PBMC,10,1.3766492407269106,dog
58,SRR17271990_PBMC_divan,SRR17271990,PBMC,9,48.35449340303709,dog
59,SRR17271990_PBMC_divan,SRR17271990,PBMC,8,34.271844660194176,dog
60,SRR17271990_PBMC_divan,SRR17271990,PBMC,14,0.04978839930296241,dog
61,SRR17271990_PBMC_divan,SRR17271990,PBMC,5,0.07219317898929549,dog
62,SRR17271990_PBMC_divan,SRR17271990,PBMC,7,1.5558874782175753,dog
63,SRR17271990_PBMC_divan,SRR17271990,PBMC,4,0.004978839930296241,dog
